Region,Rank,Tier,Fit /100,Business,Category,Segment,Locality,City,Phone,Rating,Reviews,Package,List price,Deal value (₹),Best call window (IST),Pitch angle,Intent,Volume,Rating pts,Reach,Maps URL
Chandigarh Tricity,13,A,90,A P S A & COMPANY (CA. Atul Gupta),Chartered accountant,Professional Services,Panchkula,Panchkula,094649 55470,5,94,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-18:00 (not before 1 Oct),"Services, registration credentials and a deadline-driven enquiry form. Clients verify a firm online before they call.",40,20,20,10,https://www.google.com/maps/search/?api=1&query=A%20P%20S%20A%20%26%20COMPANY%20%28CA.%20Atul%20Gupta%29%20Panchkula
Chandigarh Tricity,14,A,89,Baweja Tent house,Tent house supplier,Food & Events,Mohali,Mohali (SAS Nagar),089744 00800,5,507,Growth,"₹45,000",45000,Tue-Thu 11:00-16:00,Menu and package pages plus a date-availability enquiry form. Enquiries die in WhatsApp with no record today.,32,27,20,10,https://www.google.com/maps/search/?api=1&query=Baweja%20Tent%20house%20Mohali
Chandigarh Tricity,15,A,89,Dr Sunena's Physiotherapy Clinic,Physiotherapy centre,Health & Wellness,Panchkula,Panchkula,092169 86463,4.9,278,Custom,"₹1,20,000+",120000,Tue-Thu 11:00-13:00 / 16:00-19:00,"Practitioner credentials, treatments and online booking. Patients search the area before they phone.",36,24,19,10,https://www.google.com/maps/search/?api=1&query=Dr%20Sunena%27s%20Physiotherapy%20Clinic%20Panchkula
Chandigarh Tricity,16,A,89,Dr. Kakkar's Dental Care Centre,Dental clinic,Health & Wellness,Panchkula,Panchkula,094171 73817,4.9,250,Custom,"₹1,20,000+",120000,Tue-Thu 11:00-13:00 / 16:00-19:00,"Practitioner credentials, treatments and online booking. Patients search the area before they phone.",36,24,19,10,https://www.google.com/maps/search/?api=1&query=Dr.%20Kakkar%27s%20Dental%20Care%20Centre%20Panchkula
Chandigarh Tricity,17,A,89,Physiotherapy - Dr. Uma's The Complete Physiotherapy,Physiotherapy centre,Health & Wellness,Panchkula,Panchkula,080592 03826,5,221,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-19:00,"Practitioner credentials, treatments and online booking. Patients search the area before they phone.",36,23,20,10,https://www.google.com/maps/search/?api=1&query=Physiotherapy%20-%20Dr.%20Uma%27s%20The%20Complete%20Physiotherapy%20Panchkula
Chandigarh Tricity,18,A,89,Blossom playway & kindergarten,Preschool,Education & Training,Panchkula,Panchkula,097809 43556,5,185,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 (before pickup),"Curriculum, fees, faculty and an admission-enquiry form. Parents shortlist online, then visit.",36,23,20,10,https://www.google.com/maps/search/?api=1&query=Blossom%20playway%20%26%20kindergarten%20Panchkula
Chandigarh Tricity,19,A,89,My Physio My Care Dr Kirandeep kaur Physiotherapy Clinic,Physiotherapy centre,Health & Wellness,Mohali,Mohali (SAS Nagar),090413 09558,5,183,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-19:00,"Practitioner credentials, treatments and online booking. Patients search the area before they phone.",36,23,20,10,https://www.google.com/maps/search/?api=1&query=My%20Physio%20My%20Care%20Dr%20Kirandeep%20kaur%20Physiotherapy%20Clinic%20Mohali
Chandigarh Tricity,20,A,89,Narula orthocare and Physiotherapy Clinic,Physiotherapy centre,Health & Wellness,W VIP Road Zirakpur,Zirakpur / Dera Bassi,099889 12999,5,178,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-19:00,"Practitioner credentials, treatments and online booking. Patients search the area before they phone.",36,23,20,10,https://www.google.com/maps/search/?api=1&query=Narula%20orthocare%20and%20Physiotherapy%20Clinic%20W%20VIP%20Road%20Zirakpur
Chandigarh Tricity,21,A,89,Gurdev Consultants,Visa agent,Professional Services,Royale Estate Zirakpur,Zirakpur / Dera Bassi,096465 32206,4.9,160,Growth,"₹45,000",45000,Tue-Thu 11:30-13:00 / 15:00-17:00,"Services, registration credentials and a deadline-driven enquiry form. Clients verify a firm online before they call.",38,22,19,10,https://www.google.com/maps/search/?api=1&query=Gurdev%20Consultants%20Royale%20Estate%20Zirakpur
Chandigarh Tricity,22,A,89,Global Acme Visa,Immigration consultant,Professional Services,Panchkula,Panchkula,097798 80102,4.9,97,Growth,"₹45,000",45000,Tue-Thu 11:30-13:00 / 15:00-17:00,"Services, registration credentials and a deadline-driven enquiry form. Clients verify a firm online before they call.",40,20,19,10,https://www.google.com/maps/search/?api=1&query=Global%20Acme%20Visa%20Panchkula
Chandigarh Tricity,23,A,89,Raich & Co. Chartered Accountants,Certified public accountant,Professional Services,Kharar,Mohali (SAS Nagar),098558 84877,5,75,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-18:00 (not before 1 Oct),"Services, registration credentials and a deadline-driven enquiry form. Clients verify a firm online before they call.",40,19,20,10,https://www.google.com/maps/search/?api=1&query=Raich%20%26%20Co.%20Chartered%20Accountants%20Kharar
Chandigarh Tricity,24,A,89,M L Goyal & Associates,Chartered accountant,Professional Services,Panchkula,Panchkula,092163 67291,5,73,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-18:00 (not before 1 Oct),"Services, registration credentials and a deadline-driven enquiry form. Clients verify a firm online before they call.",40,19,20,10,https://www.google.com/maps/search/?api=1&query=M%20L%20Goyal%20%26%20Associates%20Panchkula
Chandigarh Tricity,25,A,88,Singh Tent House,Tent house supplier,Food & Events,Mattaur Mohali,Mohali (SAS Nagar),094177 20582,5,434,Growth,"₹45,000",45000,Tue-Thu 11:00-16:00,Menu and package pages plus a date-availability enquiry form. Enquiries die in WhatsApp with no record today.,32,26,20,10,https://www.google.com/maps/search/?api=1&query=Singh%20Tent%20House%20Mattaur%20Mohali
Chandigarh Tricity,26,A,88,Ankit Coaching Classes & Home Tuition,Coaching centre,Education & Training,NK Sharma Road Zirakpur,Zirakpur / Dera Bassi,098778 19938,5,265,Custom,"₹1,20,000+",120000,Tue-Thu 11:00-13:00 / 15:00-17:00 (before evening batches),"Curriculum, fees, faculty and an admission-enquiry form. Parents shortlist online, then visit.",34,24,20,10,https://www.google.com/maps/search/?api=1&query=Ankit%20Coaching%20Classes%20%26%20Home%20Tuition%20NK%20Sharma%20Road%20Zirakpur
Chandigarh Tricity,27,A,88,PK FOODS AND CATERERS,Caterer,Food & Events,Highland Park Zirakpur,Zirakpur / Dera Bassi,098342 04049,5,248,Growth,"₹45,000",45000,Tue-Thu 11:00-16:00,Menu and package pages plus a date-availability enquiry form. Enquiries die in WhatsApp with no record today.,34,24,20,10,https://www.google.com/maps/search/?api=1&query=PK%20FOODS%20AND%20CATERERS%20Highland%20Park%20Zirakpur
Chandigarh Tricity,28,A,88,Windson Overseas,English language school,Education & Training,Phase 5 Mohali,Mohali (SAS Nagar),062809 66280,5,231,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 15:00-17:00 (before evening batches),"Curriculum, fees, faculty and an admission-enquiry form. Parents shortlist online, then visit.",34,24,20,10,https://www.google.com/maps/search/?api=1&query=Windson%20Overseas%20Phase%205%20Mohali
Chandigarh Tricity,29,A,87,MS Academy,Coaching centre,Education & Training,Kharar,Mohali (SAS Nagar),062836 50741,4.9,285,Custom,"₹1,20,000+",120000,Tue-Thu 11:00-13:00 / 15:00-17:00 (before evening batches),"Curriculum, fees, faculty and an admission-enquiry form. Parents shortlist online, then visit.",34,25,19,10,https://www.google.com/maps/search/?api=1&query=MS%20Academy%20Kharar
Chandigarh Tricity,30,A,87,Heera Caterer & Event Planners,Caterer,Food & Events,Panchkula,Panchkula,098150 36134,4.9,250,Custom,"₹1,20,000+",120000,Tue-Thu 11:00-16:00,Menu and package pages plus a date-availability enquiry form. Enquiries die in WhatsApp with no record today.,34,24,19,10,https://www.google.com/maps/search/?api=1&query=Heera%20Caterer%20%26%20Event%20Planners%20Panchkula
Chandigarh Tricity,31,A,87,Anand Dental Clinic,Dental clinic,Health & Wellness,Sector 10 Panchkula,Panchkula,099151 04439,4.8,211,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-19:00,"Practitioner credentials, treatments and online booking. Patients search the area before they phone.",36,23,17,10,https://www.google.com/maps/search/?api=1&query=Anand%20Dental%20Clinic%20Sector%2010%20Panchkula
Chandigarh Tricity,32,A,87,Aspire Tutorials,Coaching centre,Education & Training,VIP Road Zirakpur,Zirakpur / Dera Bassi,078892 56896,5,179,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 15:00-17:00 (before evening batches),"Curriculum, fees, faculty and an admission-enquiry form. Parents shortlist online, then visit.",34,23,20,10,https://www.google.com/maps/search/?api=1&query=Aspire%20Tutorials%20VIP%20Road%20Zirakpur
Chandigarh Tricity,33,A,87,Acumen Physiotherapy & Rehabilitation Center,Physiotherapy centre,Health & Wellness,VIP Road Zirakpur,Zirakpur / Dera Bassi,081463 12312,4.9,174,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-19:00,"Practitioner credentials, treatments and online booking. Patients search the area before they phone.",36,22,19,10,https://www.google.com/maps/search/?api=1&query=Acumen%20Physiotherapy%20%26%20Rehabilitation%20Center%20VIP%20Road%20Zirakpur
Chandigarh Tricity,34,A,87,Efiling Services & Associates,Tax preparation service,Professional Services,TDI Mohali,Mohali (SAS Nagar),094639 99344,5,88,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-18:00 (not before 1 Oct),"Services, registration credentials and a deadline-driven enquiry form. Clients verify a firm online before they call.",38,19,20,10,https://www.google.com/maps/search/?api=1&query=Efiling%20Services%20%26%20Associates%20TDI%20Mohali
Chandigarh Tricity,35,A,87,CA Gurkaran Singh & Co.,Chartered accountant,Professional Services,Dera Bassi,Zirakpur / Dera Bassi,098760 19650,5,53,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-18:00 (not before 1 Oct),"Services, registration credentials and a deadline-driven enquiry form. Clients verify a firm online before they call.",40,17,20,10,https://www.google.com/maps/search/?api=1&query=CA%20Gurkaran%20Singh%20%26%20Co.%20Dera%20Bassi
Chandigarh Tricity,36,A,87,PRIYA INTERIORS (MOHALI),Interior designer,Home & Interiors,Mattaur Mohali,Mohali (SAS Nagar),088476 23263,5,47,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 15:00-18:00,"A project gallery with before/after by room type, plus a budget-range enquiry form. Buyers judge on photos first.",40,17,20,10,https://www.google.com/maps/search/?api=1&query=PRIYA%20INTERIORS%20%28MOHALI%29%20Mattaur%20Mohali
Chandigarh Tricity,37,A,86,RAVI INTERIORS WALLPAPER HUB,Wallpaper store,Home & Interiors,Patiala Road Zirakpur,Zirakpur / Dera Bassi,073411 26901,4.7,2472,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 15:00-18:00,"A project gallery with before/after by room type, plus a budget-range enquiry form. Buyers judge on photos first.",30,30,16,10,https://www.google.com/maps/search/?api=1&query=RAVI%20INTERIORS%20WALLPAPER%20HUB%20Patiala%20Road%20Zirakpur
Chandigarh Tricity,38,A,86,Tress Lounge Zirakpur,Beauty parlour,Health & Wellness,Zirakpur,Zirakpur / Dera Bassi,098783 53001,4.7,634,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-19:00,"Practitioner credentials, treatments and online booking. Patients search the area before they phone.",32,28,16,10,https://www.google.com/maps/search/?api=1&query=Tress%20Lounge%20Zirakpur%20Zirakpur
Chandigarh Tricity,39,A,86,Melbourne Migration Consultants,English language school,Education & Training,Zirakpur,Zirakpur / Dera Bassi,098761 19554,4.8,297,Custom,"₹1,20,000+",120000,Tue-Thu 11:00-13:00 / 15:00-17:00 (before evening batches),"Curriculum, fees, faculty and an admission-enquiry form. Parents shortlist online, then visit.",34,25,17,10,https://www.google.com/maps/search/?api=1&query=Melbourne%20Migration%20Consultants%20Zirakpur
Chandigarh Tricity,40,A,86,Apple Eye Smart Pre-School,Preschool,Education & Training,VIP Road Zirakpur,Zirakpur / Dera Bassi,092168 81282,4.9,133,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 (before pickup),"Curriculum, fees, faculty and an admission-enquiry form. Parents shortlist online, then visit.",36,21,19,10,https://www.google.com/maps/search/?api=1&query=Apple%20Eye%20Smart%20Pre-School%20VIP%20Road%20Zirakpur
Chandigarh Tricity,41,A,86,The Beginning Playschool,Preschool,Education & Training,Phase 1 Mohali,Mohali (SAS Nagar),084376 16776,5,105,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 (before pickup),"Curriculum, fees, faculty and an admission-enquiry form. Parents shortlist online, then visit.",36,20,20,10,https://www.google.com/maps/search/?api=1&query=The%20Beginning%20Playschool%20Phase%201%20Mohali
Chandigarh Tricity,42,A,86,FLOWER DECORATION IN CHANDIGARH,Wedding planner,Food & Events,Chandigarh,Chandigarh,096462 46332,4.9,95,Growth,"₹45,000",45000,Tue-Thu 11:00-16:00,Menu and package pages plus a date-availability enquiry form. Enquiries die in WhatsApp with no record today.,38,20,19,10,https://www.google.com/maps/search/?api=1&query=FLOWER%20DECORATION%20IN%20CHANDIGARH%20Chandigarh
Chandigarh Tricity,43,A,86,Kirpal Lamba & Associates,Chartered accountant,Professional Services,Landran Road Kharar,Mohali (SAS Nagar),099882 26171,4.8,76,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-18:00 (not before 1 Oct),"Services, registration credentials and a deadline-driven enquiry form. Clients verify a firm online before they call.",40,19,17,10,https://www.google.com/maps/search/?api=1&query=Kirpal%20Lamba%20%26%20Associates%20Landran%20Road%20Kharar
Chandigarh Tricity,44,A,86,VKT Accounting Services,Tax consultant,Professional Services,Mannat Enclave Zirakpur,Zirakpur / Dera Bassi,098784 94144,5,62,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-18:00 (not before 1 Oct),"Services, registration credentials and a deadline-driven enquiry form. Clients verify a firm online before they call.",38,18,20,10,https://www.google.com/maps/search/?api=1&query=VKT%20Accounting%20Services%20Mannat%20Enclave%20Zirakpur
Chandigarh Tricity,45,A,86,Manoj J Kumar & Associates,Chartered accountant,Professional Services,Kharar,Mohali (SAS Nagar),094786 95141,4.9,58,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-18:00 (not before 1 Oct),"Services, registration credentials and a deadline-driven enquiry form. Clients verify a firm online before they call.",40,18,19,10,https://www.google.com/maps/search/?api=1&query=Manoj%20J%20Kumar%20%26%20Associates%20Kharar
Chandigarh Tricity,46,A,86,Fly First immigration,Immigration consultant,Professional Services,Dera Bassi,Zirakpur / Dera Bassi,099886 60224,4.9,52,Growth,"₹45,000",45000,Tue-Thu 11:30-13:00 / 15:00-17:00,"Services, registration credentials and a deadline-driven enquiry form. Clients verify a firm online before they call.",40,17,19,10,https://www.google.com/maps/search/?api=1&query=Fly%20First%20immigration%20Dera%20Bassi
Chandigarh Tricity,47,A,86,Srivastava V. K & Associates Chartered Accountants,Chartered accountant,Professional Services,Zirakpur,Zirakpur / Dera Bassi,099883 13494,5,38,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-18:00 (not before 1 Oct),"Services, registration credentials and a deadline-driven enquiry form. Clients verify a firm online before they call.",40,16,20,10,https://www.google.com/maps/search/?api=1&query=Srivastava%20V.%20K%20%26%20Associates%20Chartered%20Accountants%20Zirakpur
Chandigarh Tricity,48,A,85,AdvancedPhysiocare by dr simran,Physiotherapy centre,Health & Wellness,Sector 12 Panchkula,Panchkula,085560 08556,4.8,133,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-19:00,"Practitioner credentials, treatments and online booking. Patients search the area before they phone.",36,21,17,10,https://www.google.com/maps/search/?api=1&query=AdvancedPhysiocare%20by%20dr%20simran%20Sector%2012%20Panchkula
Chandigarh Tricity,49,A,85,Dr. Sonia Physiotherapy,Physiotherapy centre,Health & Wellness,Panchkula,Panchkula,090411 72301,4.9,107,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-19:00,"Practitioner credentials, treatments and online booking. Patients search the area before they phone.",36,20,19,10,https://www.google.com/maps/search/?api=1&query=Dr.%20Sonia%20Physiotherapy%20Panchkula
Chandigarh Tricity,50,A,85,KS BEST PROPERTIES,Real estate consultant,Retail & Services,Kharar,Mohali (SAS Nagar),076010 00021,4.9,102,Growth,"₹45,000",45000,Tue-Thu 11:00-16:00,"Services, coverage area and a callback form so enquiries stop dying in missed calls.",36,20,19,10,https://www.google.com/maps/search/?api=1&query=KS%20BEST%20PROPERTIES%20Kharar
Chandigarh Tricity,51,A,85,Sharma's Physiotherapy and Rehabilitation Centre,Physiotherapy centre,Health & Wellness,Haibatpur Dera Bassi,Zirakpur / Dera Bassi,062801 27455,5,86,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-19:00,"Practitioner credentials, treatments and online booking. Patients search the area before they phone.",36,19,20,10,https://www.google.com/maps/search/?api=1&query=Sharma%27s%20Physiotherapy%20and%20Rehabilitation%20Centre%20Haibatpur%20Dera%20Bassi
Chandigarh Tricity,52,A,85,Regal Estate,Real estate consultant,Retail & Services,VIP Road Zirakpur,Zirakpur / Dera Bassi,091320 69000,5,77,Growth,"₹45,000",45000,Tue-Thu 11:00-16:00,"Services, coverage area and a callback form so enquiries stop dying in missed calls.",36,19,20,10,https://www.google.com/maps/search/?api=1&query=Regal%20Estate%20VIP%20Road%20Zirakpur
Chandigarh Tricity,53,A,85,KANIKA NITISH AND ASSOCIATES,Chartered accountant,Professional Services,Zirakpur,Zirakpur / Dera Bassi,097808 55945,4.8,62,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-18:00 (not before 1 Oct),"Services, registration credentials and a deadline-driven enquiry form. Clients verify a firm online before they call.",40,18,17,10,https://www.google.com/maps/search/?api=1&query=KANIKA%20NITISH%20AND%20ASSOCIATES%20Zirakpur
Chandigarh Tricity,54,A,85,Define Overseas Immigration,Immigration consultant,Professional Services,Kharar,Mohali (SAS Nagar),073411 15291,4.8,56,Growth,"₹45,000",45000,Tue-Thu 11:30-13:00 / 15:00-17:00,"Services, registration credentials and a deadline-driven enquiry form. Clients verify a firm online before they call.",40,18,17,10,https://www.google.com/maps/search/?api=1&query=Define%20Overseas%20Immigration%20Kharar
Chandigarh Tricity,55,A,85,HCB & Associates,Certified public accountant,Professional Services,Panchkula,Panchkula,076960 00624,5,30,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-18:00 (not before 1 Oct),"Services, registration credentials and a deadline-driven enquiry form. Clients verify a firm online before they call.",40,15,20,10,https://www.google.com/maps/search/?api=1&query=HCB%20%26%20Associates%20Panchkula
Chandigarh Tricity,56,A,85,Patron Immigration Mohali,Immigration consultant,Professional Services,Kharar,Mohali (SAS Nagar),098772 75383,5,28,Growth,"₹45,000",45000,Tue-Thu 11:30-13:00 / 15:00-17:00,"Services, registration credentials and a deadline-driven enquiry form. Clients verify a firm online before they call.",40,15,20,10,https://www.google.com/maps/search/?api=1&query=Patron%20Immigration%20Mohali%20Kharar
Chandigarh Tricity,57,B,84,Saini Tour and Travels,Travel agency,Retail & Services,Panchkula,Panchkula,092171 81801,4.9,218,Growth,"₹45,000",45000,Tue-Thu 11:00-16:00,"Services, coverage area and a callback form so enquiries stop dying in missed calls.",32,23,19,10,https://www.google.com/maps/search/?api=1&query=Saini%20Tour%20and%20Travels%20Panchkula
Chandigarh Tricity,58,B,84,Target Education Academy,Coaching centre,Education & Training,Gulmohar City Dera Bassi,Zirakpur / Dera Bassi,096462 47140,4.9,143,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 15:00-17:00 (before evening batches),"Curriculum, fees, faculty and an admission-enquiry form. Parents shortlist online, then visit.",34,22,19,10,https://www.google.com/maps/search/?api=1&query=Target%20Education%20Academy%20Gulmohar%20City%20Dera%20Bassi
Chandigarh Tricity,59,B,84,SAI COMMERCE ZONE,Coaching centre,Education & Training,Dera Bassi,Zirakpur / Dera Bassi,096463 78477,4.9,122,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 15:00-17:00 (before evening batches),"Curriculum, fees, faculty and an admission-enquiry form. Parents shortlist online, then visit.",34,21,19,10,https://www.google.com/maps/search/?api=1&query=SAI%20COMMERCE%20ZONE%20Dera%20Bassi
Chandigarh Tricity,60,B,84,The Spanning Kids School,Preschool,Education & Training,Sunny Enclave Kharar,Mohali (SAS Nagar),098888 11684,4.8,104,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 (before pickup),"Curriculum, fees, faculty and an admission-enquiry form. Parents shortlist online, then visit.",36,20,17,10,https://www.google.com/maps/search/?api=1&query=The%20Spanning%20Kids%20School%20Sunny%20Enclave%20Kharar
Chandigarh Tricity,61,B,84,The Country Caterers,Catering food and drink supplier,Food & Events,VIP Road Zirakpur,Zirakpur / Dera Bassi,094160 95620,5,99,Growth,"₹45,000",45000,Tue-Thu 11:00-16:00,Menu and package pages plus a date-availability enquiry form. Enquiries die in WhatsApp with no record today.,34,20,20,10,https://www.google.com/maps/search/?api=1&query=The%20Country%20Caterers%20VIP%20Road%20Zirakpur
Chandigarh Tricity,62,B,84,HERITAGE PROPERTIES,Real estate agency,Retail & Services,Central Plaza Mohali,Mohali (SAS Nagar),079736 41446,4.9,93,Growth,"₹45,000",45000,Tue-Thu 11:00-16:00,"Services, coverage area and a callback form so enquiries stop dying in missed calls.",36,20,19,10,https://www.google.com/maps/search/?api=1&query=HERITAGE%20PROPERTIES%20Central%20Plaza%20Mohali
Chandigarh Tricity,63,B,84,G.G ESTATE'Z,Real estate agency,Retail & Services,Dera Bassi,Zirakpur / Dera Bassi,098155 06976,4.9,90,Growth,"₹45,000",45000,Tue-Thu 11:00-16:00,"Services, coverage area and a callback form so enquiries stop dying in missed calls.",36,20,19,10,https://www.google.com/maps/search/?api=1&query=G.G%20ESTATE%27Z%20Dera%20Bassi
Chandigarh Tricity,64,B,84,Healing hands Physio Care clinic,Physiotherapy centre,Health & Wellness,Zirakpur,Zirakpur / Dera Bassi,080544 47628,4.9,87,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-19:00,"Practitioner credentials, treatments and online booking. Patients search the area before they phone.",36,19,19,10,https://www.google.com/maps/search/?api=1&query=Healing%20hands%20Physio%20Care%20clinic%20Zirakpur
Chandigarh Tricity,65,B,84,Smile Kraft Dental Clinic,Dental clinic,Health & Wellness,Sector 8 Panchkula,Panchkula,0172 463 3058,4.9,77,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-19:00,"Practitioner credentials, treatments and online booking. Patients search the area before they phone.",36,19,19,10,https://www.google.com/maps/search/?api=1&query=Smile%20Kraft%20Dental%20Clinic%20Sector%208%20Panchkula
